target_x,target_y
0.28272,0.0448
0.0339,0.19948
-0.13543,-0.27297
0.28387,0.17258
0.23553,0.04462
-0.1859,-0.00626
0.036,0.10812
-0.27687,-0.08033
-0.15797,-0.09923
0.31764,0.01298
-0.10156,-0.30057
0.12295,0.1821
-0.17758,0.29352
0.11736,0.08162
-0.25804,-0.19687
-0.04032,-0.31492
0.26142,-0.04458
-0.21716,-0.07365
-0.23634,-0.21784
-0.28915,-0.15275
0.28647,0.08484
-0.04624,0.18303
0.01487,0.13695
-0.02556,0.14391
-0.18858,0.21436
0.0572,0.21994
0.18445,-0.07755
-0.22285,-0.18232
-0.02237,-0.16957
-0.12242,0.11575
-0.22202,-0.26838
-0.10765,-0.24712
0.05266,-0.31945
0.18529,0.03789
-0.02372,0.21196
0.17198,-0.06448
-0.13026,0.30269
-0.22935,0.17645
-0.32482,0.0859
0.00423,0.19945
-0.02163,0.2696
0.22045,-0.16482
0.0449,0.23004
-0.34898,-0.02091
0.13604,0.04149
-0.10404,-0.10729
-0.27791,0.14791
-0.09636,0.08866
-0.34355,-0.06356
0.22142,-0.26499
-0.01944,-0.10447
-0.28653,-0.06778
-0.12658,-0.1549
-0.13773,0.05984
0.23674,-0.07069
-0.02768,0.32828
0.11162,0.23207
0.23057,-0.24394
-0.13412,-0.15996
0.16062,0.22958
-0.30006,-0.0758
-0.30674,-0.05922
-0.04507,0.08963
0.09964,-0.04758
0.16196,-0.28744
0.19734,0.07517
0.31166,-0.10791
-0.13959,0.01232
0.00888,-0.13307
0.21455,0.22389
-0.2397,-0.07756
0.13881,-0.14336
0.05706,0.23313
-0.03343,-0.26373
-0.0683,0.16722
-0.20548,-0.28237
-0.242,-0.02683
0.02433,0.15173
-0.18629,-0.11546
0.03524,0.18613
-0.09113,-0.0984
0.15667,-0.10587
0.29482,0.14068
-0.09346,-0.16745
0.12444,0.13644
-0.30622,-0.14655
0.05424,-0.24542
0.11614,0.29556
-0.13123,0.0607
-0.23497,0.04939
-0.14049,-0.26886
0.28311,0.20142
-0.12513,0.19909
0.00276,0.327
-0.16804,0.05622
-0.04276,0.23587
0.17295,-0.09051
0.15754,-0.18718
0.25473,0.08381
0.18005,-0.3
