target_x,target_y
0.20616,0.03267
0.02619,0.15412
-0.09805,-0.19762
0.20372,0.12385
0.17617,0.03337
-0.14647,-0.00493
0.03372,0.10127
-0.20173,-0.05853
-0.12437,-0.07813
0.22893,0.00935
-0.07321,-0.21667
0.09341,0.13834
-0.12706,0.21002
0.10011,0.06962
-0.18559,-0.14159
-0.02907,-0.227
0.19255,-0.03284
-0.16368,-0.05551
-0.17015,-0.15683
-0.20781,-0.10979
0.20785,0.06155
-0.0363,0.14369
0.01285,0.11842
-0.02163,0.1218
-0.13756,0.15637
0.04318,0.16604
0.14286,-0.06006
-0.16239,-0.13286
-0.01802,-0.1366
-0.09904,0.09365
-0.15865,-0.19178
-0.07911,-0.18161
0.03788,-0.22981
0.1454,0.02973
-0.01813,0.16196
0.13594,-0.05097
-0.09355,0.21739
-0.16703,0.1285
-0.23286,0.06158
0.00328,0.15458
-0.01589,0.19804
0.16156,-0.12079
0.03371,0.17272
-0.24929,-0.01494
0.11626,0.03546
-0.08739,-0.09011
-0.20049,0.10671
-0.08498,0.07819
-0.24543,-0.0454
0.15834,-0.1895
