target_x,target_y
0.33697,0.05339
0.03956,0.23281
-0.16181,-0.32614
0.34014,0.20679
0.27826,0.05271
-0.21524,-0.00725
0.03794,0.11391
-0.3301,-0.09577
-0.18296,-0.11493
0.38006,0.01553
-0.12151,-0.35962
0.14443,0.21391
-0.21298,0.35202
0.13093,0.09106
-0.30896,-0.23572
-0.04825,-0.3768
0.31052,-0.05296
-0.25585,-0.08677
-0.28289,-0.26074
-0.34629,-0.18294
0.34202,0.10129
-0.05363,0.21224
0.01646,0.15168
-0.02863,0.1612
-0.22475,0.25547
0.06735,0.25896
0.21506,-0.09042
-0.26568,-0.21736
-0.02565,-0.19447
-0.14013,0.13249
-0.26639,-0.32201
-0.12797,-0.29377
0.06304,-0.38246
0.2149,0.04394
-0.02781,0.24843
0.19887,-0.07456
-0.15604,0.3626
-0.27349,0.2104
-0.38933,0.10296
0.00493,0.23249
-0.02572,0.32055
0.26232,-0.19612
0.05297,0.27139
-0.41876,-0.0251
0.15162,0.04624
-0.117,-0.12065
-0.33242,0.17692
-0.10555,0.09711
-0.41224,-0.07626
0.2656,-0.31787
-0.01996,-0.10729
-0.3419,-0.08088
-0.14758,-0.18061
-0.155,0.06735
0.28018,-0.08366
-0.03316,0.39325
0.13239,0.27526
0.27636,-0.29238
-0.15693,-0.18717
0.19128,0.2734
-0.35871,-0.09061
-0.36681,-0.07082
-0.04514,0.08976
0.10384,-0.04958
0.19403,-0.34435
0.23113,0.08804
0.37335,-0.12927
-0.15513,0.01369
0.00976,-0.14636
0.25649,0.26767
-0.28398,-0.09188
0.1618,-0.16711
0.06741,0.27544
-0.03972,-0.31331
-0.07884,0.19302
-0.24656,-0.33882
-0.28617,-0.03173
0.02748,0.17141
-0.21879,-0.13561
0.04088,0.21592
-0.10035,-0.10836
0.18171,-0.12279
0.35307,0.16847
-0.10855,-0.19448
0.14398,0.15786
-0.36714,-0.17571
0.06426,-0.29073
0.13896,0.35363
-0.14671,0.06786
-0.27763,0.05836
-0.16783,-0.32117
0.33966,0.24165
-0.14765,0.23493
0.00331,0.39163
-0.19354,0.06475
-0.05052,0.27866
0.2012,-0.10529
0.18634,-0.22139
0.30274,0.09961
0.21605,-0.36
